faceX	faceY	faceZ
5.562597253823463	-0.05759451100010282	-1.5048654074357208
2222	2222	2222
5.550692507928346	-0.05892057799831302	-1.50566392974921
2222	2222	2222
5.550147303716545	-0.05706961367498864	-1.505092767895049
2222	2222	2222
5.544514649113865	-0.05717678890605066	-1.5038654880446123
2222	2222	2222
5.5380010948194345	-0.058138325238184796	-1.5023909833703484
2222	2222	2222
5.539037729621748	-0.05813669439407415	-1.4996893646585683
2222	2222	2222
5.545235419056529	-0.05753334435325852	-1.495553549438904
2222	2222	2222
5.5442739178971205	-0.05838100988052053	-1.4923393012027388
2222	2222	2222
5.543217767321453	-0.059329338984897284	-1.489629918466525
2222	2222	2222
5.531127127110844	-0.06179067756446849	-1.4887929690398336
2222	2222	2222
5.523029760735424	-0.06324708379503247	-1.488005158592685
2222	2222	2222
5.524484196639084	-0.06269571886922654	-1.4861803830425773
2222	2222	2222
5.566032435733742	-0.08990981939299525	-1.4868896743211875
2222	2222	2222
5.518686177230531	-0.01752359758054589	-1.5138731369158986
2222	2222	2222
5.512792400383289	-0.01779699457856998	-1.5132805842357226
2222	2222	2222
5.526094357185354	-0.01540860077192957	-1.510180130099127
2222	2222	2222
5.529220198845846	-0.015215622450553357	-1.5061573555845207
2222	2222	2222
5.512831533655458	-0.018330828234299046	-1.5057548704699075
2222	2222	2222
5.566423476412159	-0.005235419901003291	-1.5578581065016157
2222	2222	2222
5.572290477539087	-0.06338449882691533	-1.4942717816244173
2222	2222	2222
5.575229874175764	-0.06567966200447795	-1.488843559408011
2222	2222	2222
5.587549770461197	-0.06599049120315736	-1.484287084929555
2222	2222	2222
5.566873889715898	-0.07104350339629623	-1.4844980649546
2222	2222	2222
5.578529225334028	-0.06945674366679527	-1.4838964740151694
2222	2222	2222
5.580768087408499	-0.0691464990299886	-1.484305480179808
2222	2222	2222
5.58543191630094	-0.06870169282531835	-1.4853229712829215
2222	2222	2222
5.577585862357173	-0.07026643007198641	-1.4866961096936142
2222	2222	2222
5.592434660091407	-0.06866274229930991	-1.4852646790761939
2222	2222	2222
5.589271248175132	-0.07052890890987834	-1.485133051977854
2222	2222	2222
5.5880448041162385	-0.07248186902961856	-1.4844286534791225
2222	2222	2222
5.569705528901366	-0.07772115892047499	-1.4842625200863957
2222	2222	2222
5.582570099169407	-0.0774756179237363	-1.4816534309514549
2222	2222	2222
5.5689403049192885	-0.08129301725376337	-1.481109481743465
2222	2222	2222
5.573922854870263	-0.08166952292144186	-1.4768558919099413
2222	2222	2222
5.574090612134843	-0.08314744567683241	-1.473613950520302
2222	2222	2222
5.557300357793698	-0.08692369331131594	-1.4723884297915408
2222	2222	2222
5.558076385023959	-0.08726220341587582	-1.4700027471494659
2222	2222	2222
5.571438368632577	-0.08457473895042794	-1.4665697850471537
2222	2222	2222
5.58775657869187	-0.08147321634143712	-1.4648166756860324
2222	2222	2222
5.593775328809166	-0.07971461428649235	-1.4641568430799503
2222	2222	2222
5.548757678125112	-0.05213342829349116	-1.4913940599316344
2222	2222	2222
5.601156962687678	-0.07549087484856043	-1.465888546107577
2222	2222	2222
5.592964085227281	-0.07606157337293262	-1.469758192222432
2222	2222	2222
5.584546461243901	-0.07623954237183561	-1.472818147603507
2222	2222	2222
5.582557112801735	-0.07563066799003193	-1.4746465912397622
2222	2222	2222
5.591548561255334	-0.07369279338395601	-1.4746417709057555
2222	2222	2222
5.592590608216944	-0.07271547859318761	-1.4744522965540012
2222	2222	2222
5.587482720311962	-0.07279631032636319	-1.4752418832895486
2222	2222	2222
5.547349197686645	-0.045703574955847204	-1.5047432086644952
2222	2222	2222
5.538193928964967	-0.02831521146702831	-1.4807398887073453
2222	2222	2222
5.595640781788832	-0.06940590744540565	-1.474555650836198
2222	2222	2222
5.592528683688199	-0.09122998758736084	-1.466885244363894
2222	2222	2222
5.584446344863422	-0.07003849237496385	-1.474052204469441
2222	2222	2222
5.585794235797331	-0.06987597466639467	-1.4729227637705946
2222	2222	2222
5.595145469668454	-0.06817386164066663	-1.4703639146894947
2222	2222	2222
5.581246020835379	-0.06990969176631134	-1.4702755611525895
2222	2222	2222
5.5858850510343805	-0.06790417479910144	-1.4683781523964103
2222	2222	2222
5.5865975406865465	-0.06625459731754763	-1.4685396479243442
2222	2222	2222
5.600436068035196	-0.06176032511247698	-1.465465892020311
2222	2222	2222
5.548013229804205	-0.016846902826155086	-1.4696276789541058
2222	2222	2222
5.537142180550311	-0.014483798843432927	-1.4720587992256988
2222	2222	2222
5.533256139552625	-0.009210478790642018	-1.4747799490069307
2222	2222	2222
5.570668468414218	-0.046956191234059974	-1.4743272378895553
2222	2222	2222
5.577435246141212	-0.03905919483439696	-1.4800938484155823
2222	2222	2222
5.5586834584954525	-0.03888142446521681	-1.4872775777276277
2222	2222	2222
5.555918541374332	-0.038885773317601346	-1.4879892912490913
2222	2222	2222
5.558438248933565	-0.06829052630367455	-1.4598703136759796
2222	2222	2222
5.556946327213268	-0.040858156916371735	-1.477040394742746
2222	2222	2222
5.548641862679434	-0.043792312303098435	-1.4689662921199778
2222	2222	2222
5.5278244780612065	-0.04855262932658083	-1.4604635280291511
2222	2222	2222
5.529178456312442	-0.04949795518812411	-1.4489692793553959
2222	2222	2222
5.533047369559895	-0.04920370350540121	-1.43346482266179
2222	2222	2222
5.525812080910707	-0.07313364907534248	-1.4125759389832282
2222	2222	2222
5.538929504015675	-0.050566302909132166	-1.4032348427027488
2222	2222	2222
5.534991344946145	-0.053050940440620975	-1.3885128808610485
2222	2222	2222
5.5217243811576795	-0.057047605567993265	-1.3755030474594345
2222	2222	2222
5.530639531718402	-0.05636461263846143	-1.3599754714743246
2222	2222	2222
5.522671172684282	-0.05831722574544379	-1.348447399008165
2222	2222	2222
5.52081572702378	-0.05867933901275646	-1.3367846717933027
2222	2222	2222
5.499667204622838	-0.061855868485167165	-1.329341877783955
2222	2222	2222
5.511020903792649	-0.059210205794604176	-1.3173394319676892
2222	2222	2222
5.488831320632719	-0.06242993898281085	-1.3102449736766244
2222	2222	2222
5.500255605205054	-0.060072902284083685	-1.298431561961096
2222	2222	2222
5.490622838235626	-0.06111218552878206	-1.2906353225341056
2222	2222	2222
5.500493533006616	-0.05849130620145415	-1.2801819244815236
2222	2222	2222
5.502750467658784	-0.057550818120798264	-1.2712184420064123
2222	2222	2222
5.498038159823561	-0.057956010828645654	-1.2640946128475261
2222	2222	2222
5.503172505514497	-0.05644197924274519	-1.2541567253757915
2222	2222	2222
5.491623101807722	-0.05780019681425885	-1.248849092030239
2222	2222	2222
5.484214264798501	-0.05820713051531251	-1.2426342473969796
2222	2222	2222
5.468768511815081	-0.05932360243103196	-1.2377794308725274
2222	2222	2222
5.477238001061137	-0.05663592862067057	-1.2277555774421232
2222	2222	2222
5.48529368951811	-0.0531340959190339	-1.2197086076119623
2222	2222	2222
5.4249036038124565	-0.010463156956596997	-1.221225687645673
2222	2222	2222
5.468749833955227	-0.052044854937403795	-1.208450214971502
2222	2222	2222
5.481039210505305	-0.048619679112465675	-1.1983338505232883
2222	2222	2222
5.483983396121649	-0.0471019315018667	-1.1897636519504828
2222	2222	2222
5.482659766112019	-0.04651317970240354	-1.1807609332571285
2222	2222	2222
5.457532726588834	-0.04924132147921012	-1.1756820399382713
2222	2222	2222
5.477014355327248	-0.04252481607767539	-1.1624399343086271
2222	2222	2222
5.462322615749061	-0.04205912349705765	-1.1544893608130062
2222	2222	2222
5.472634572935394	-0.038215617790148426	-1.1409651702382622
2222	2222	2222
5.4722647849070905	-0.03789760313467938	-1.1304547456872525
2222	2222	2222
5.487377711172345	-0.0343614245306621	-1.117976182090151
2222	2222	2222
5.484980983600904	-0.034867895167377816	-1.1095019047233163
2222	2222	2222
5.4881762550790585	-0.03522060851632852	-1.1011413442084865
2222	2222	2222
5.4944337419925695	-0.05768252129490142	-1.084297206224176
2222	2222	2222
5.50995376925505	-0.0348931929397287	-1.0825288786780844
2222	2222	2222
5.5126148351745785	-0.03598560741321105	-1.0762267949832314
2222	2222	2222
5.517153115718944	-0.036586795376285175	-1.0707722589947326
2222	2222	2222
5.526163508840952	-0.0367292018963401	-1.0657693477076142
2222	2222	2222
5.512173910252222	-0.040710861486941086	-1.0667981265923254
2222	2222	2222
5.515065134173745	-0.041981880698766405	-1.0653886771617918
2222	2222	2222
5.524299681016324	-0.04122119227069321	-1.061188618224854
2222	2222	2222
5.5154155351185885	-0.046436576505643146	-1.0632012515655294
2222	2222	2222
5.524783305723006	-0.04524542565298262	-1.060375917784533
2222	2222	2222
5.540525743857329	-0.04492361126009892	-1.0566407794203843
2222	2222	2222
5.5473809460757355	-0.045592346618571644	-1.0563060599673304
2222	2222	2222
5.5402137270363125	-0.048799983877127195	-1.0595138521662881
2222	2222	2222
5.564708562658346	-0.04636228543151644	-1.05688763733406
2222	2222	2222
5.5609298057598675	-0.04876354856263998	-1.060196256485231
2222	2222	2222
5.56136671641876	-0.050459927540541405	-1.0638687334184427
2222	2222	2222
5.559924030847002	-0.0524937112720954	-1.0663693152179399
2222	2222	2222
5.517886286236527	-0.08407037458966848	-1.0696922851531607
2222	2222	2222
5.527432100798912	-0.060873154812709385	-1.0809630198264097
2222	2222	2222
5.52618931212839	-0.010013181256487313	-1.0846512202572371
2222	2222	2222
5.5394180607788295	-0.009166660577839214	-1.0865538042289613
2222	2222	2222
2222	2222	2222
2222	2222	2222
2222	2222	2222
2222	2222	2222
2222	2222	2222
5.501121210018663	-0.017183814737569802	-1.1140497557435358
2222	2222	2222
5.493498330387131	-0.0187018625919404	-1.1166506734486212
2222	2222	2222
5.492291255666729	-0.01923835626219461	-1.117992374770405
2222	2222	2222
5.493414433191025	-0.019240153075449407	-1.1172618470846498
2222	2222	2222
5.492213058584809	-0.019821792291059404	-1.118302716045697
2222	2222	2222
5.493417900363565	-0.019681182162040844	-1.1190123990168384
2222	2222	2222
5.505898618136149	-0.01682678407750282	-1.1170653249117577
2222	2222	2222
5.494260702686643	-0.018228360617336625	-1.120047168445233
2222	2222	2222
5.496940679099519	-0.01663393560158094	-1.1204544288063898
2222	2222	2222
5.490108484734984	-0.016724303147722386	-1.121471778369051
2222	2222	2222
5.487785575349467	-0.016160802558667753	-1.1219024074377926
2222	2222	2222
5.485088224003736	-0.015177098283740031	-1.120766211082832
2222	2222	2222
5.482550414174824	-0.014281874022344987	-1.1202850005373934
2222	2222	2222
5.507213277868746	-0.03612998701835923	-1.116251776307567
2222	2222	2222
5.466329339734935	-0.013736502847374432	-1.1206261560226891
2222	2222	2222
5.466414372641448	-0.0119859780846166	-1.1197628079675326
2222	2222	2222
5.458342191962871	-0.011449602218176924	-1.120025201802072
2222	2222	2222
5.447938927669835	-0.011032599529890275	-1.1204916584953937
2222	2222	2222
5.446103291998588	-0.009424289370883632	-1.1204315772637532
2222	2222	2222
5.438436665203303	-0.008901704223495455	-1.1211018239893737
2222	2222	2222
5.436498839413121	-0.007565247819209364	-1.121963014223078
2222	2222	2222
5.424848857131886	-0.007964434057160408	-1.124348255433072
2222	2222	2222
5.431344096597097	-0.0052829007691587715	-1.1233064053792812
2222	2222	2222
5.430086926170748	-0.003833041542659066	-1.1254174306223037
2222	2222	2222
5.429833063355193	-0.0022494127882676795	-1.1273517264444404
2222	2222	2222
5.423284224536662	-0.0018643655596098374	-1.1292677480120838
2222	2222	2222
5.410968975989438	-0.0023952938896600884	-1.1326801284536367
2222	2222	2222
5.41561261386418	-0.000888762471571769	-1.1318287752142606
2222	2222	2222
5.417499659553495	0.0010478345654015842	-1.1316887354340923
2222	2222	2222
5.420076634991951	0.002788518633512982	-1.130878585044359
2222	2222	2222
5.41086643315017	0.002446843479525007	-1.1314598115437138
2222	2222	2222
5.4182244997734434	0.005006206092673382	-1.1286000249675623
2222	2222	2222
5.408630829815704	0.004669995682523964	-1.12715014767146
2222	2222	2222
5.417769486316274	0.007431762523679275	-1.1218714377933248
2222	2222	2222
5.407239774905857	0.006854978855097893	-1.1188498486687246
2222	2222	2222
5.457088372114866	0.028361356641522895	-1.1442298472730272
2222	2222	2222
